plan_number,name,district,turbine_number,installed_capacity,developer_name,developer_type,project_status,approval_body,plan_url,initiation_date,final_decision_date
ג/18674,עמק הבכא,צפון,34,96.0,אנלייט,public,approved,"ות""ל",https://mavat.iplan.gov.il/SV4/1/2126563/310,2010-02-04,2015-12-20
תתל 77,עמק הרוחות,צפון,11,70.0,אנלייט,public,in planning,"ות""ל",https://mavat.iplan.gov.il/SV4/1/99000374449/310,2015-02-24,
תתל 76,רמת סירין,צפון,21,60.0,רימון אנרגיות מתחדשות,private,rejected,"ות""ל",https://mavat.iplan.gov.il/SV4/1/99000898003/310,2015-02-24,2019-09-23
תתל 78,רוח בראשית,צפון,41,189.0,אנלייט,public,approved,"ות""ל",https://mavat.iplan.gov.il/SV4/1/99000426175/310,2015-11-30,2020-01-12
תתל 47,רמת הגולן,צפון,31,110.0,"אנרג'יקס (דרך חברת בת אר""ן)",public,approved,"ות""ל",https://mavat.iplan.gov.il/SV4/1/99000907611/310,2010-09-19,2020-02-12
255-0220814,כיסרא אנלייט,צפון,4,30.0,אנלייט,public,rejected,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000312199/310,2014-11-06,2023-03-26
255-0310045,כסרא,צפון,9,0.45,"חברת קריגר שיבולת אנרגיה חלופית בע""מ",private,rejected,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000355167/310,2015-08-02,2018-05-06
255-0310029,כסרא,צפון,9,0.45,"חברת קריגר שיבולת אנרגיה חלופית בע""מ",private,rejected,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000355155/310,2015-08-09,2018-05-06
255-0322529,כסרא,צפון,9,0.45,"חברת קריגר שיבולת אנרגיה חלופית בע""מ, דורון פוקס וגל הרשקוביץ",private,rejected,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000361309/310,2015-08-09,2018-05-06
255-0322560,כסרא,צפון,8,0.4,"חברת קריגר שיבולת אנרגיה חלופית בע""מ",private,rejected,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000361317/310,2015-08-09,2018-05-06
255-0322750,כסרא,צפון,5,0.25,"חברת קריגר שיבולת אנרגיה חלופית בע""מ",private,rejected,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000361375/310,2015-08-09,2018-05-06
255-0305128,כסרא,צפון,9,0.17,"חברת קריגר שיבולת אנרגיה חלופית בע""מ, דורון פוקס וגל הרשקוביץ",private,rejected,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000352605/310,2015-03-11,2018-05-06
204-0455436,כוכב הירדן,צפון,4,10.0,"אייל בן שלוש, EDF",public,rejected,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000429167/310,2016-10-10,2018-05-03
214-0378315,דגניה,צפון,5,10.0,בלו סקיי + דגניה,private,rejected,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000389727/310,2016-04-11,2018-05-17
209-0390393,דלתון (גליל),צפון,3,7.2,"אייל בן שלו, EDF",public,rejected,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000396383/310,2016-07-11,2018-05-17
254-0286005,עין השופט,צפון,9,32.0,אנרג'יקס,public,in planning,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000344319/310,2020-06-09,
299-0458604,כסרא,צפון,25,1.25,"חברת קריגר שיבולת אנרגיה חלופית בע""מ",private,rejected,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000430787/310,2016-09-14,2018-05-06
204-0305110,בית אלפא,צפון,5,15.0,EDF,public,approved,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000352601/310,2015-06-16,2021-11-03
255-0310136,כסרא,צפון,4,0.2,"חברת קריגר שיבולת אנרגיה חלופית בע""מ",private,rejected,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000355209/310,2015-08-16,2018-05-06
204-0390385,אשדות יעקב,צפון,5,10.0,"אייל בן שלוש + EDF
חוות טורבינות אשדות יעקב, שותפות מוגבלת, ח""פ 550265466",public,rejected,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000396371/310,2016-04-18,2018-05-03
202-0227611,מעלה גלבוע,צפון,10,33.0,אנלייט,public,rejected,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000315367/310,2015-01-20,2018-05-03
202-0415083,מסילות,צפון,3,10.0,"אייל בן שלוש, EDF",public,rejected,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000408525/310,2016-04-20,2018-05-13
258-0232264,כיסרא זודיאק,צפון,5,17.0,זודיאק,private,rejected,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000317717/310,2015-01-22,2023-03-26
255-0230904,יאנוח ג'ת,צפון,2,10.0,זודיאק,private,in planning,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000317069/310,2015-01-22,
699-0272872,יתיר,דרום,10,50.0,אנלייט,public,approved,מחוזי,https://mavat.iplan.gov.il/SV4/1/6000338029/310,2015-03-22,2020-08-04
204-0284679,כפר יחזקאל,צפון,6,30.0,EDF,public,approved,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000343717/310,2015-06-24,2020-12-02
204-0284539,עין חרוד,צפון,5,25.0,EDF,public,approved,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000343621/310,2015-06-24,2020-12-02
204-0284711,גבע,צפון,5,25.0,EDF,public,approved,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000343725/310,2015-06-24,2021-01-10
219-0547133,אלרום,צפון,6,19.0,אנלייט\אלי בן דב,public,approved,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000885907/310,2017-07-24,2018-12-23
202-0292987,מירב,צפון,7,21.0,"ד.א. אנרגיית רוח בע""מ",private,rejected,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000347117/310,2015-10-27,2018-05-03
204-0367599,חפציבה,צפון,6,14.4,קיבוץ חפציבה; אייל בן-שלוש (לפי מספר הטלפון - לא רשום בשמו במסמכי התכנית),private,rejected,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000384035/310,2016-03-28,2018-05-17
206-0381749,לביא,צפון,7,15.0,א.א. רוח לביא (אנלייט),public,rejected,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000391635/310,2016-03-28,2018-05-06
255-0322776,כסרא,צפון,9,0.45,"חברת קריגר שיבולת אנרגיה חלופית בע""מ",private,rejected,מחוזי,https://mavat.iplan.gov.il/SV4/1/2000361385/310,2015-07-29,2018-05-06
