session_date,project_code,committee,affiliation,quote_en,Community_acceptance,Technical,Finance,Environmental,Planning,position_manual,GPT_3_prediction,GPT_3_analysis
24/03/2015,202-0227611,ועדת משנה לתכניות ונושאים עקרוניים כלל מחוזיים (צפון),Planning bodies,"I ask that you present the plan, location and environmental issues. I would like you to give us the presentation. What is land designation according to a district plan. The majority is for development, some is in the sensitivity group. The right part is a land designation sketch, if it had been preserved they would have seen it. Is there landscape surgery? I want to work for landscape surgery? Start with where we perceive, what is the effect, who perceives and how. Where do you perceive the landscape affected by the turbines. In our country there is a value to a historical landscape, it is the preservation of a natural landscape. Obviously, in development I will change the landscape. To what extent do I change the natural landscape, if I am my influence, to what extent do I change the natural landscape. Therein lies the ranking. Some people in addition to that will see the change, but 100 percent is that there are no changes and a natural landscape of part of the State of Israel. Each natural landscape has the full value of 100 percent. How much I change up to 100 percent. Should be friendly. After a few months or a year they get used to it and it is part of the existing landscape.  What is the difference between what is happening, we are in a fairly limited area and the tourist value of a historical landscape is extremely high. You can't compare, there they treat people like that more, because of the resistance. It's a difference to what I'm saying, you can't copy what's happening in the world.  Those who have not yet expressed their position on the subject, there is the plan procedure, there is the publication of the plan with
The program is structured, everyone has the right to read and comment.",1,0,0,1,1,Neutral,0,"The statement reflects a nuanced view on the wind turbine project, focusing on the environmental and visual impacts of the development. The speaker acknowledges the inevitable changes to the landscape due to development but also seems to rationalize these changes by suggesting that people will eventually adapt to the new landscape. The mention of the value of preserving natural landscapes and the high tourist value of historical landscapes indicates a concern for the environmental and aesthetic impacts of the project. However, the speaker also discusses procedural aspects, such as the plan procedure and the opportunity for public comment, which could indicate an effort to ensure regulatory compliance and public engagement.

Despite these concerns, the speaker does not explicitly demand additional studies or express opposition to the project's continuation. Instead, they seem to be seeking a balanced understanding of how the project will alter the landscape and how these changes are perceived and valued, suggesting a more measured approach rather than outright opposition.

STANCE: neutral"
24/03/2015,202-0227611,ועדת משנה לתכניות ונושאים עקרוניים כלל מחוזיים (צפון),Locals,"Kibbutz Ma'ale Gilboa We built the first wind turbine in 1986. Since then we have literally spent a lot of blood and we see it as a major economic component in Ma'ale Gilboa. There is a turbine farm under construction in Ma'ale Gilboa, 14 turbines that will start generating electricity in December. The previous plan we are aware that there are many opponents. Settlement is also a key element in the security aspect as well. The separation fence in Gilboa passes where it passes, above Gilboa they insisted on cultivating agricultural land that is not according to the rules of the economy. In the field of environmental quality in Gilboa, as someone who lives there all year round, we know that things can be combined. Furthermore, the fact that at the time the turbine farm in Gilboa was approved prevented the establishment of a A. To Steph Wertheimer on the exact same areas. The wind turbines protect them as agricultural land much more than any other type of land. I would like to emphasize that this particular farm is relatively on the back slope of the turbine farm, it is not at the edge of the cliff, but further in. Another issue at the same time as the construction of the wind farm that is being built these days, we are building a visitor center with an investment of NIS 3.5 million. Clean energy is a component of tourism development in Gilboa",1,0,1,1,1,Support,1,"The speaker in the statement appears to be supportive of the wind turbine project in Ma'ale Gilboa. They highlight the economic benefits of the project, mentioning that it has been a major economic component for the area and is linked to tourism development through the construction of a visitor center. The speaker acknowledges opposition but emphasizes the ability to combine environmental quality with local living, suggesting a positive view of the project's integration with the environment. They also note the protection of agricultural land by the turbines, indicating a preference for the current use of the land over potential alternatives. The speaker's focus on the benefits and ongoing development efforts, along with the mention of compliance with approvals, aligns with the characteristics of a supportive stance.

STANCE: support"
24/03/2015,202-0227611,ועדת משנה לתכניות ונושאים עקרוניים כלל מחוזיים (צפון),Developers,"We tested 2 issues, the visual impact and the scenic sensitivity. For these two issues, we checked every complex of the turbines. In terms of viewing, we referred to the residents of the area in terms of viewers. We divided the area into 10 areas, each cluster received a visual analysis on its own. The residents of the mountain stage, the visitors. We checked views from the valley. Each unit received a map of elevations and each turbine received a simulation. For each turbine we have an elevation map and simulation. Each unit received a summary, I brought the interim summary regarding the entire project and our visual inspection says, our summary regarding this whole project says that the visual impact of existing wind turbines are large elements and they are seen and cannot be hidden. However, in the visual inspection due to the location beyond the ridge line and the way they are dispersed, the distance from the settlements and the connection to the infrastructures that already exist on the ridge level, for example the existing turbine farm that is about to be built and the pumped storage, we see a medium visual impact towards the valley, a visual impact that is high towards the settlements, and yet in a way that is not will affect the quality of life of the settlements and perhaps vice versa. This is not a third concept, we check whether or not we see something visual as a negative thing. A visual effect exists, and whether it is positive or negative is a subjective approach. From a subjective point of view, we can determine whether the visual impact causes a negative impact among residents and visitors. The change, as soon as we are partners in the project, we see the change as a change for the better. Anyone sitting here in the room knows that there is a safeguard, that there will not be a single turbine out of safeguarding the environment. Putting a turbine every 200 m is a high and unreasonable visual effect. We check as fixed people the range between zero impact and maximum impact what can be done. For example, if you put a vertical turbine, what is the range of its effect if you put it 200 m here or there. Such turbines cannot be hidden. The criteria is the context of the settlement. We looked, we gave a higher criterion to permanent and non-transient residents. We gave importance to the residents who have to live there all the time, we gave them added value, it is important to us that the residents are the initiators of the program. We checked the visitors who arrive, visitors from both the Gilboa and the Emek, there are the travelers on the road which is also a parameter. We checked the visitors and also the public sites, I have estimates of calculations, I don't have visitors' books, it is possible to add numbers. In terms of the criteria of the degree of violation, ecological and natural values ​​and each site received a degree of landscape sensitivity. Then a visual impact test of test criteria: views, environmental scenic prominence, connection and connection to existing infrastructure, the degree of impact on the scenic pleasantness, distances of views, distance radii in relation to residences, viewers. The intersection of the 2 topics gave the summary table that ranges from low impact to impact Very high.",0,0,0,1,1,Support,1,"The statement reflects a nuanced view on the visual impact of a wind turbine project, acknowledging both the presence of visual impacts and their subjective interpretation. The speaker discusses efforts to assess and manage these impacts, emphasizing the importance of resident and visitor perspectives and the integration with existing infrastructure. The mention of adhering to environmental safeguards and prioritizing the needs of permanent residents suggests a commitment to minimizing negative effects and enhancing local benefits. The overall tone and content indicate a supportive stance towards the project, focusing on management and improvement rather than outright opposition or dismissal of concerns.

STANCE: support"
24/03/2015,202-0227611,ועדת משנה לתכניות ונושאים עקרוניים כלל מחוזיים (צפון),Environmental organizations,Did you involve the residents through a questionnaire? Is there a reference to the information that is beginning to accumulate about health effects on people and about the distances where people live?,1,0,0,1,0,Weakly opposed,-0.5,"The statement expresses concerns about the involvement of residents and the potential health effects of the wind turbine project, indicating a focus on the adequacy of resident consultation and the assessment of health impacts. The questions suggest that the speaker may doubt whether these aspects have been sufficiently addressed, aligning with typical opposition indicators such as questioning project impacts and the adequacy of current assessments without mentioning any mitigating actions or compliance efforts by the developers.

STANCE: oppose"
24/03/2015,202-0227611,ועדת משנה לתכניות ונושאים עקרוניים כלל מחוזיים (צפון),Locals,"Mike Ehrlich: We published a notice to the residents about the plan, and invited them to a meeting to express their opinion on the plan. It's not just that we held 2 meetings on the plan, after the first discussion we felt it was right to publish our initial conclusions to the general public and invite them to comment on the issue at another meeting. Not everyone supported it, the committee's conclusion after hearing the residents. Emek Ma'a'ain local committee generally supports alternative energy, including a number of projects that arise in our area, including wind turbines, including pumped energy, including solar energy. We are aware of environmental effects and we believe that this plan in the proposed location minimizes as much as possible damage to the open area, also in matters of observation, and as far as we understand possible damage to the birds that pass by. Our only comment is that a representative of a neighboring settlement requested that if for planning reasons not all of the proposed turbines are implemented, that the turbine removed from the plan be the closest to Kibbutz Merav. It is also the most observable according to the analysis and we adopt the request that if all are not carried out it is the turbine that will go down.",1,0,0,1,1,Support,1,"The statement by Mike Ehrlich indicates a supportive stance towards the wind turbine project. He mentions the proactive steps taken by the committee to engage with the public through meetings and to communicate their initial conclusions openly, which aligns with supportive behavior as per the guidelines. Furthermore, Ehrlich acknowledges the environmental effects but believes that the project minimizes damage effectively, particularly in terms of visual impact and potential avian disruption. The mention of adopting a request from a neighboring settlement also shows a willingness to address concerns and modify plans to mitigate impacts, which is indicative of a supportive approach that aims to balance different interests while advancing the project.

STANCE: support"
16/06/2016,202-0292987,ועדת משנה לתכניות ונושאים עקרוניים כלל מחוזיים (צפון),Environmental organizations,"Did you make a document for those with wings? Before the instructions? Before a survey, we do some kind of literature review based on - , we did a national review. Coverage that can be based on the data, on what it can indicate. Not a review. Maron knows what I mean. He asked me, they asked for data for a specific purpose. Not to throw away. No, you cannot take from Kfar Yehezkel.",0,0,0,1,0,Weakly opposed,0,"The statement provided is somewhat ambiguous and lacks clear context, making it difficult to definitively categorize the speaker's stance based solely on the content provided. The speaker mentions conducting a ""national review"" and gathering ""data for a specific purpose,"" which suggests some level of detailed investigation or compliance effort related to environmental impacts, possibly on avian populations. However, the statement also includes a cryptic refusal to ""take from Kfar Yehezkel,"" which could imply resistance or a specific concern not being addressed adequately. The overall tone does not clearly support or oppose the project but rather focuses on procedural aspects of data handling and review.

Given the lack of explicit support or opposition indicators and the focus on procedural details without expressing a clear preference or opposition, the statement leans towards a neutral classification, as it primarily discusses procedural aspects without clear judgment.

STANCE: neutral"
16/06/2016,202-0292987,ועדת משנה לתכניות ונושאים עקרוניים כלל מחוזיים (צפון),Developers,"A preliminary review, of course, depending on the search field that will be further narrowed later. So here, as for the previous question, we agree. farmland. That is why the search area was marked in an agricultural area, there is an overlap with a national park according to TMA / 8. Can you indicate the location of a turbine? Oh. The area is outside the national park of course. The blue line was marked on the agricultural area. It turns out that the agricultural area here overlaps with the national park, which designated this area as an agricultural area outside the blue line. Can you come back for a moment? The detailed outline plan is from 2014 C/15009. OK, we can pass. Good. As Shiran has already explained, the area occupied by the turbines is limited. There is no significant impact on the topography. Certainly not for hydrology. Hydro - Geology We don't have polluting substances there. Nevertheless materials - , a drainage artery passes within the search field. After it is reduced we will move away from this area. The nearest turbine is located 140 meters from a secondary drainage artery. In terms of shield radii according to the information we have, we are outside. You can move on. TMA / 35 - We want to focus mainly on the scenic complex. This is already the updated TMA that I think was published yesterday on the website of the Planning Administration. We are in a scenic complex. as you see here. Let's quickly go over the -, a wider picture. This scenic complex is called the gospel road. We see it as a broad complex. Several polygons we are in the southern part of one of the polygons. According to the instructions of the TMA, wind turbines can be erected within a landscape complex with the approval of the National Council. These are the new instructions. Let's continue. Of course, the whole issue of the landscape and the impact on the environment will be examined in a review according to the guidelines. Let's continue. A district outline plan. We are of course in an agricultural area As we explained earlier, the overlap in the western part is with the forest area marked by the TMM. We saw that in the detailed plan this area is intended for agriculture. further. No, go on. Environmental document We are in a defined land use development area. The TMM defines several conditions for the use of this area. The first condition is that the area cannot be placed in the area without development restrictions, which is the areas of the settlements. From the nature of the project, of course, we do not want to get close to the settlements. There are effects of noise, vibration, and we want to stay as far away from the settlements as possible. No It is possible to place neither in this area nor in the adjacent area. The whole project is going to be examined in terms of nature and landscape, the area is marked as an agricultural area which the program requires. In terms of ecological corridors, from our experience, wind turbines do not have a significant effect on the movement of terrestrial animals which will be examined at the same time as the survey. We are also outside the antiquities sites in the area. We want to prepare both the survey and the survey according to the instructions of the Ministry of Environmental Protection.",0,1,0,1,1,Support,1,"The statement provided indicates a supportive stance towards the wind turbine project. The speaker discusses compliance with environmental guidelines and regulatory frameworks, such as adhering to the instructions of the TMA and the Ministry of Environmental Protection. They mention efforts to minimize impacts on the environment, such as staying away from settlements to reduce noise and vibration effects and ensuring that the project does not significantly affect terrestrial animal movement. The speaker also emphasizes that the project will undergo further examination and review according to guidelines, which shows a proactive approach to addressing environmental concerns within the accepted regulatory processes.

STANCE: support"
16/06/2016,202-0292987,ועדת משנה לתכניות ונושאים עקרוניים כלל מחוזיים (צפון),Planning bodies,"How does it work out, but in the construction plan you presented, you actually showed the position of the columns. And here I see a much - much wider spread. So you presented it as safety distances of existing power lines. And you are still in this whole range and still within the safety field? The electricity company wants you to stay away. Is this all still within those limits? You're not going to do anything in the eastern part that will connect the - , okay. Can you go back to your construction plan? of one specific site. We will focus on one site, the accompanying buildings will be there. I'm trying to understand until now we had on this day, there were plans submitted -, submitted -, the turbines are submitted without buildings at all. That is, the whole area was completely open. Here I assume you are also asking for buildings?  Because they are asking, they are unlike the previous cases, here they are not as is even now the program is not exactly asking for a specific zip code but a search range. Yes. But the meaning of this, if I understand correctly, is that in this search range you will locate a place not according to (unclear) these, in fact you will be renewed",0,0,0,1,1,Neutral,-0.5,"The statement provided appears to express concerns and seeks clarification about the discrepancies between the initial construction plans and current layouts, specifically regarding the spread of columns and safety distances from power lines. The speaker is questioning the compliance with previously set limits and the inclusion of new structures (buildings) that were not part of the original plan. The focus on compliance, questioning of changes without clear approval, and concern over the expansion of the project scope suggest a cautious or critical approach towards the project's execution and adherence to regulations.

STANCE: oppose"
16/06/2016,202-0292987,ועדת משנה לתכניות ונושאים עקרוניים כלל מחוזיים (צפון),Government,": What is the distance of the turbines? From the area of ​​Melkishua's residence? I have an expansion plan for Malkishu. Are you compatible? The expansion of Melchishua is being discussed now. I mean, she hasn't come to the discussion yet, but Rami is promoting her and she's at work. Did you check the winged bearer survey? Did you promote it? Did you hear about it? Nice. ?It sounds like a threat. But take into account that the bird survey you will probably be required to do is a 4-season survey",0,0,0,1,1,Strongly opposed,-0.5,"The statement reflects concerns about the proximity of the wind turbines to the area of Melkishua and the potential impact on avian populations, indicated by the mention of a required ""4-season survey"" for birds. The speaker seems to be seeking information on whether the project has considered these aspects and whether it aligns with local expansion plans, suggesting a cautious or questioning approach towards the project's current status and its environmental assessments. The mention of a bird survey and questioning whether it has been promoted or heard of indicates a demand for more thorough environmental scrutiny, which aligns with opposition indicators.

STANCE: oppose"
16/06/2016,202-0292987,ועדת משנה לתכניות ונושאים עקרוניים כלל מחוזיים (צפון),Developers,"Yaki Neumann. Together with me Michal Weiss - Navon and Ezra Inbar an architect, the editor of the program. Good. So we are initiating together with Kibbutz Meriv a project for wind turbines. This is within the framework of the wind turbine series of the Electricity Authority which encourages electricity production with renewable energy. You are probably familiar with the background, the spirit of things, the government's decisions regarding reducing emissions and increasing renewable energy production. All of this connects with the Electricity Authority series. We operate within this arrangement together with Kibbutz Merav. and in the plan to erect large wind turbines. in the area between -, on the Gilboa in the area between Kibbutz Meriv and Melkishu. You can see the placement plan here. All in all, this is a plan of a maximum of 6 large turbines that are located near the road that leads between Merav and 6 turbines.. Now, each turbine and it appears in the plan documents, each turbine you see this area because a turbine is a column in the end. Each turbine, apart from the facility itself, also has a staging area where they prepare for erection, placing the turbine and the blades on the ground. 80 meters and 125 meters. The height of the column is 80 meters. The height of the blades, the tip of the upper blade from the ground is 125 meters. 3.3 megawatts per hour. In the future there will be technological improvements, - these turbines have a power of, today the models with 3.2 are already talking about turbines in this model that can reach - 3 and a half megawatts. Working turbines, operating in the neighboring kibbutz above Gilboa at a height of 50 meters to a stand with a blade. And we want to pick it up. . Blade tip 65. That's why we asked for a meeting. Meeting scheduled. Next Thursday there is an arranged meeting with representatives who wrote us the letter and with them we will understand the issue. We are not going to fight the Ministry of Defense. We understand their considerations exactly. and their rationale and their position. This is our limitations as entrepreneurs. This is a point of assumption that in my estimation is reasonable, that turbines similar to what is in the neighboring kibbutz can be. So we did submit a plan as you can see, but we are willing to compromise on a path of turbines at a similar height to what will be in the kibbutz. No. The same turbines but smaller. This is a project of 14 units, each (not clear). So we had some technological improvements, let's say that such turbines of a similar height today can achieve 1 megawatt. There are surveys, electricity surveys, we know what the transmission capacity is on the site. we will stick We will go to the program. 70. An order of magnitude of let's say turbines at that height is an economic project - yes. Let's say an order of magnitude of 65 that can be established. Let us update. We want to (not clear) but we live in reality and if the Ministry of Defense accepts us to a certain height, then this will probably be the reality. Now, if we go down to smaller turbines then we will make more turbines. In the meantime we received a positive answer from an electricity company, a total of 12.8 megawatts. This is an existing survey that can be presented and in a parallel process, the electricity company is conducting a larger survey. Scope of 18. But this is one existing survey and it already exists and is in our hands. You can show it on the computer. And another survey is currently being conducted. That's why I told you up to 5 turbines because this turbine is close to above Gilboa. As Malkishua expands we will give up. This is also our story. We just said. We just said. We have also entered into the instructions of our plan, as we understand that Malkishu is expanding and they have an expansion neighborhood and are also familiar with the plan. The turbine will not be in our plan. It is also written in the plans. It is also compatible with having a team that works with the development of the Gilboa and also the local committee when we were there and it was an issue. This is one of the reasons we agreed to him, we understand. We will certainly not create an obstacle for them. In any case, we won't - , we certainly won't cross paths with their plan and we won't interfere with their plan. And we will maintain this distance of 500 meters from houses both from the houses of Kibbutz Merav itself, and from Melkishu and its extension. From our point of view, we know this individual and there is no problem with him. In the meantime we measured on a thin mast at a height of 10 and 15 meters. But what you do at such a stage of a plan, you start by coordinating with the go bodies - the go in general in a proactive way for wind turbines, you have to get to a point where the central ones, with the Ministry of Defense, go through some kind of statutory process, see that the electricity company has a positive feasibility study and see that there is Spirit on the site there. Now, what do we do in terms of wind tests? Crossing theoretical data, that is, taking meteorological data at a variety of stations and producing a predicted energy map and verifying it through wind measurements that are not parallel. At this point we are not building yet. This is a plan in itself or a permit in itself, a measuring station at a height of 85 meters that is usually done by international consulting companies as part of the preparations already for financial closure. It is also about significant costs. At what stage do we bring the program? We have already coordinated it once with an electricity company and we saw that there is a feasibility study for the release of the energy. For the second time we are starting the statutory procedure and here we are with you today to receive instructions for reviews. A third time coordination with the Ministry of Defense and a fourth time the same specific wind measurement of extrapolations show that an energy map is suitable for this type of project and is before the minister and given that all these conditions will come together then of course we will continue with more significant moves including a parallel wind measurement that will eventually lead to the realization of the plan",1,1,1,1,1,Support,1,"The statement reflects a supportive stance towards the wind turbine project. The speaker discusses the coordination with local committees and development plans, ensuring that the turbine will not interfere with existing plans and maintaining a safe distance from residential areas. They also detail the procedural steps taken, such as coordinating with the electricity company and the Ministry of Defense, conducting feasibility studies, and planning for further wind measurements as part of the project's development. The emphasis on compliance with regulatory processes and proactive engagement with necessary bodies indicates a commitment to adhering to guidelines and ensuring the project's success.

STANCE: support"
